年月日,收盤價(元),成交量(千股),成交值(千元),外資買賣超市值(百萬),融資餘額(千元),融券餘額(千元)
2026/05/14,"41,751.75","14,422,244","1,275,384,785","4,237.09","499,134,883","19,419,280.99"
2026/05/13,"41,374.5","18,632,210","1,265,792,083","-23,490.33","494,418,035","19,968,674.72"
2026/05/12,"41,898.32","19,487,297","1,446,228,503","-21,853.66","491,194,846","19,859,499.33"
2026/05/11,"41,790.06","13,141,091","1,170,487,539","-13,985.73","484,592,746","19,769,054.37"
2026/05/08,"41,603.94","15,497,124","1,305,390,328","-4,601.55","477,184,758","18,688,010.81"
2026/05/07,"41,933.78","15,231,110","1,246,902,674","36,308.66","482,664,170","19,886,239.74"
2026/05/06,"41,138.85","16,678,201","1,524,012,557","84,119.6","475,648,471","20,182,603.52"
2026/05/05,"40,769.29","12,853,494","1,049,334,722","11,513.81","475,145,292","20,130,778.36"
2026/05/04,"40,705.14","12,395,796","1,051,315,643","54,252.47","470,389,635","19,107,801.95"
2026/04/30,"38,926.63","11,446,952","1,074,901,891","-52,476.59","460,905,599","17,768,730.4"
2026/04/29,"39,303.5","10,197,192","915,272,695","-46,787.32","460,974,804","17,732,286.43"
2026/04/28,"39,521.73","10,641,033","1,057,488,155","-36,955.22","457,112,797","17,630,499.37"
2026/04/27,"39,616.63","14,212,315","1,248,027,623","-43,922.24","452,044,394","16,879,757.65"
2026/04/24,"38,932.4","12,886,151","1,081,153,827","39,005.02","440,907,083","16,651,283.37"
2026/04/23,"37,714.15","18,953,441","1,460,103,003",448.69,"430,825,725","15,892,101.07"
2026/04/22,"37,878.47","13,042,520","979,876,044","11,396.91","438,545,241","17,595,525.99"
2026/04/21,"37,605.11","13,267,924","1,021,704,705","56,449.67","433,163,894","16,381,049.18"
2026/04/20,"36,958.8","13,563,808","960,963,966","3,908.35","429,829,952","15,755,357.24"
2026/04/17,"36,804.34","13,629,149","985,525,733",721.14,"427,120,788","15,119,351.09"
2026/04/16,"37,132.02","13,029,813","927,314,900","38,364.65","422,408,742","14,637,578.98"
2026/04/15,"36,722.14","13,942,183","1,025,905,609","49,196.74","416,253,786","13,821,973.03"
2026/04/14,"36,296.12","13,673,749","1,017,277,556","61,777.26","414,988,177","14,004,003.66"
2026/04/13,"35,457.29","10,803,404","805,701,457","-19,091.47","408,651,307","12,881,388.14"
2026/04/10,"35,417.83","12,583,637","871,808,149","20,546.56","401,240,705","11,855,510.88"
2026/04/09,"34,861.16","11,946,350","872,275,954","25,910.7","396,518,141","11,025,549.81"
2026/04/08,"34,761.38","12,873,431","894,100,450","97,071.22","395,333,852","9,641,547.76"
2026/04/07,"33,229.82","8,303,716","584,692,254","7,050.06","387,734,358","8,770,898.73"
2026/04/02,"32,572.43","10,200,475","702,608,705","-32,393.43","384,200,709","7,675,956.94"
2026/04/01,"33,174.82","9,341,757","652,608,970","19,016.22","385,907,934","8,099,720.79"
2026/03/31,"31,722.99","12,232,062","882,453,969","-68,433.19","381,724,855","7,945,958.98"
2026/03/30,"32,518.16","9,871,214","678,152,191","-55,720.61","392,708,634","8,457,717.76"
2026/03/27,"33,112.59","9,442,000","658,273,529","-31,999.41","393,722,769","8,437,215.25"
2026/03/26,"33,337.62","9,461,269","766,599,119","-4,858.68","391,136,469","8,252,320.58"
2026/03/25,"33,439.11","8,730,340","652,340,765","33,397.88","395,499,024","7,520,923.8"
2026/03/24,"32,612.24","9,933,946","690,091,065","-8,166.37","390,102,627","6,780,370.89"
2026/03/23,"32,722.5","11,584,224","712,578,117","-71,944.6","393,333,759","6,863,916.43"
2026/03/20,"33,543.88","12,643,136","1,004,234,872","-35,511.27","398,591,068","10,738,143.35"
2026/03/19,"33,689.68","11,805,573","893,918,756","-80,504.54","402,095,986","14,079,184.09"
2026/03/18,"34,348.58","11,967,644","924,101,194","8,077.58","399,772,079","15,952,089.52"
2026/03/17,"33,836.57","11,052,069","846,176,534","2,516.81","393,467,032","16,788,836.33"
2026/03/16,"33,342.51","11,002,126","755,420,348","-37,817.06","392,284,076","17,015,003.37"
2026/03/13,"33,400.32","11,310,370","752,682,671","-52,545.58","385,446,747","18,011,767.24"
2026/03/12,"33,581.86","12,188,897","784,007,384","-61,473.07","379,366,977","19,098,808.68"
2026/03/11,"34,114.19","10,994,809","693,435,834","34,979.15","376,147,937","19,635,582.79"
2026/03/10,"32,771.87","11,467,681","728,225,719","-23,786.96","368,236,327","18,145,508.07"
2026/03/09,"32,110.42","14,457,276","868,304,737","-104,259.64","371,960,474","17,897,608.46"
2026/03/06,"33,599.54","10,206,581","655,472,934","-28,466.47","382,683,585","21,109,004.16"
2026/03/05,"33,672.94","11,784,121","793,545,602","-42,451.01","379,166,583","22,049,380.25"
2026/03/04,"32,828.88","17,027,132","1,099,338,575","-77,187.33","376,616,368","20,869,794.24"
2026/03/03,"34,323.65","16,527,604","1,113,233,319","-71,110.03","384,358,090","26,069,260.69"
2026/03/02,"35,095.09","14,965,963","1,014,040,137","-25,932.42","391,522,964","28,269,923.27"
2026/02/26,"35,414.49","15,667,310","1,207,836,722","-9,853.5","389,861,168","29,300,461.56"
2026/02/25,"35,413.07","15,806,158","1,020,570,870","44,235.76","383,126,958","28,095,576.66"
2026/02/24,"34,700.82","13,165,035","861,808,912","62,990.25","377,495,245","28,375,460.71"
2026/02/23,"33,773.26","13,167,078","949,992,767","12,863.32","372,155,937","25,455,750.68"
2026/02/11,"33,605.71","9,640,426","699,292,298","46,978.18","367,498,071","24,207,342.77"
2026/02/10,"33,072.97","8,544,963","678,490,714","49,543.22","372,586,397","24,089,412.21"
2026/02/09,"32,404.62","9,406,563","653,957,736","16,090.82","375,470,000","24,361,043.96"
2026/02/06,"31,782.92","10,552,234","700,313,173","-4,510.8","373,990,690","23,929,953.6"
2026/02/05,"31,801.27","11,186,277","715,168,705","-64,931.16","382,917,735","25,871,839.84"
2026/02/04,"32,289.81","10,160,254","704,644,032","12,241.81","384,045,976","27,426,351"
2026/02/03,"32,195.36","11,518,844","821,574,120","6,948.97","382,125,198","26,210,728.16"
2026/02/02,"31,624.03","11,735,154","771,419,543","-39,081.88","378,848,321","27,314,591.09"
2026/01/30,"32,063.75","13,417,799","941,320,964","-44,464.19","383,893,233","28,263,249.98"
2026/01/29,"32,536.27","13,552,952","959,652,045","18,118.14","381,778,070","30,039,875.52"
2026/01/28,"32,803.82","12,947,973","853,922,428","31,690.11","384,920,473","30,541,396.34"
2026/01/27,"32,317.92","12,767,369","817,604,546","18,076.47","382,728,165","29,868,209.61"
2026/01/26,"32,064.52","11,574,650","747,339,306","-1,755.56","381,580,658","30,182,960.17"
2026/01/23,"31,961.51","12,103,342","818,428,930","22,324.08","376,076,978","29,320,371.68"
2026/01/22,"31,746.08","13,104,288","814,595,841","17,538","371,734,424","29,814,362.64"
2026/01/21,"31,246.37","14,446,040","899,309,076","-39,795.29","367,745,249","28,705,380.34"
2026/01/20,"31,759.99","13,170,800","799,639,371","-1,092.49","371,225,738","29,716,387.22"
2026/01/19,"31,639.29","13,668,186","823,428,003","-25,786.35","369,415,656","30,567,589.5"
2026/01/16,"31,408.7","12,754,630","851,452,408","37,627.4","363,391,797","30,425,457.58"
2026/01/15,"30,810.58","11,502,671","671,953,720",357.14,"359,299,228","30,221,089.52"
2026/01/14,"30,941.78","11,337,766","681,983,353","11,576.59","358,452,806","29,651,179.26"
2026/01/13,"30,707.22","12,095,287","749,179,436","13,737.73","355,638,826","29,078,956.96"
2026/01/12,"30,567.29","10,706,885","626,408,176","-12,506.69","356,490,039","28,491,763.91"
2026/01/09,"30,288.96","11,350,115","704,371,387","-7,038.12","351,492,592","27,807,586.99"
2026/01/08,"30,360.55","13,237,635","759,270,755","-1,847.2","352,387,651","30,502,634.65"
2026/01/07,"30,435.47","14,251,362","881,736,707","-32,098.73","357,058,834","30,295,288.1"
2026/01/06,"30,576.3","12,040,596","763,236,739",932.39,"354,550,416","30,110,561.97"
2026/01/05,"30,105.04","12,257,092","800,793,653","-8,426.6","350,948,272","28,256,719.09"
2026/01/02,"29,349.81","10,724,729","669,781,989","12,100.36","346,633,323","27,872,252.4"
2025/12/31,"28,963.6","9,768,832","548,425,314","-3,863.79","343,409,624","26,782,938.74"
