靡ㄩ絏,るら,Μ絃基(じ),Θユ秖(),Θユ(じ),秅锣瞯,瑈硄计(),カ(κ窾じ),TSE 玻穨,カ
2303 羛筿,2026/9/15,138.5,"102,009","14,225,802",0.8115,"12,570,094","1,740,958",24,TSE
2382 約笷,2026/9/15,333,"7,988","2,667,055",0.1945,"4,107,627","1,367,840",25,TSE
2317 翬,2026/9/15,246.5,"15,812","3,918,516",0.1123,"14,075,746","3,469,672",31,TSE
2412 い地筿,2026/9/15,143.5,"16,914","2,421,792",0.218,"7,757,447","1,113,194",27,TSE
2603 篴,2026/9/15,233.5,"6,962","1,627,111",0.3216,"2,165,043","505,538",15,TSE
1301 鹅,2026/9/15,62,"17,895","1,106,799",0.2811,"6,365,741","394,676",03,TSE
3231 絥承,2026/9/15,182.5,"21,186","3,861,163",0.6177,"3,429,842","625,946",25,TSE
2356 璣穨笷,2026/9/15,60.5,"9,229","566,109",0.2573,"3,587,475","217,042",25,TSE
2301 腳,2026/9/15,274,"17,907","4,985,979",0.7732,"2,316,108","634,614",25,TSE
2395 地,2026/9/15,685,"3,502","2,424,818",0.4029,"869,176","595,385",25,TSE
2303 羛筿,2026/9/14,142.5,"132,513","18,527,866",1.0542,"12,570,094","1,791,238",24,TSE
2382 約笷,2026/9/14,332.5,"8,031","2,666,230",0.1955,"4,107,627","1,365,786",25,TSE
2317 翬,2026/9/14,248.5,"25,260","6,232,907",0.1795,"14,075,746","3,497,823",31,TSE
2412 い地筿,2026/9/14,142.5,"18,796","2,659,548",0.2423,"7,757,447","1,105,436",27,TSE
2603 篴,2026/9/14,237,"12,908","3,037,132",0.5962,"2,165,043","513,115",15,TSE
1301 鹅,2026/9/14,62.9,"23,847","1,489,165",0.3746,"6,365,741","400,405",03,TSE
3231 絥承,2026/9/14,181,"36,189","6,560,002",1.0551,"3,429,842","620,801",25,TSE
2356 璣穨笷,2026/9/14,61.7,"8,218","506,348",0.2291,"3,587,475","221,347",25,TSE
2301 腳,2026/9/14,277.5,"12,338","3,430,075",0.5327,"2,316,108","642,720",25,TSE
2395 地,2026/9/14,670,"2,641","1,764,503",0.3039,"869,176","582,348",25,TSE
2303 羛筿,2026/9/11,140.5,"120,877","16,881,145",0.9616,"12,570,094","1,766,098",24,TSE
2382 約笷,2026/9/11,336.5,"11,011","3,678,490",0.2681,"4,107,627","1,382,217",25,TSE
2317 翬,2026/9/11,248,"24,164","5,997,882",0.1717,"14,075,746","3,490,785",31,TSE
2412 い地筿,2026/9/11,140.5,"14,548","2,038,171",0.1875,"7,757,447","1,089,921",27,TSE
2603 篴,2026/9/11,234.5,"8,626","2,017,707",0.3984,"2,165,043","507,703",15,TSE
1301 鹅,2026/9/11,64.6,"12,666","818,453",0.199,"6,365,741","411,227",03,TSE
3231 絥承,2026/9/11,185.5,"43,003","7,973,484",1.2538,"3,429,842","636,236",25,TSE
2356 璣穨笷,2026/9/11,62,"9,980","614,758",0.2782,"3,587,475","222,423",25,TSE
2301 腳,2026/9/11,277,"21,494","5,925,570",0.928,"2,316,108","641,562",25,TSE
2395 地,2026/9/11,674,"4,777","3,231,153",0.5496,"869,176","585,825",25,TSE
2303 羛筿,2026/9/10,142.5,"204,307","29,244,478",1.6253,"12,570,094","1,791,238",24,TSE
2382 約笷,2026/9/10,336,"13,496","4,516,625",0.3286,"4,107,627","1,380,163",25,TSE
2317 翬,2026/9/10,251,"40,233","10,054,588",0.2858,"14,075,746","3,533,012",31,TSE
2412 い地筿,2026/9/10,139.5,"7,123","992,026",0.0918,"7,757,447","1,082,164",27,TSE
2603 篴,2026/9/10,231,"6,710","1,549,749",0.3099,"2,165,043","500,125",15,TSE
1301 鹅,2026/9/10,65.6,"21,995","1,435,754",0.3455,"6,365,741","417,593",03,TSE
3231 絥承,2026/9/10,185,"88,549","16,559,745",2.5817,"3,429,842","634,521",25,TSE
2356 璣穨笷,2026/9/10,62.6,"15,958","1,004,406",0.4448,"3,587,475","224,576",25,TSE
2301 腳,2026/9/10,291,"19,920","5,780,218",0.8601,"2,316,108","673,987",25,TSE
2395 地,2026/9/10,659,"1,508","990,227",0.1735,"869,176","572,787",25,TSE
2303 羛筿,2026/9/9,141.5,"270,644","38,183,273",2.1531,"12,570,094","1,778,668",24,TSE
2382 約笷,2026/9/9,342,"26,249","8,944,838",0.639,"4,107,627","1,404,809",25,TSE
2317 翬,2026/9/9,252,"21,343","5,388,667",0.1516,"14,075,746","3,547,088",31,TSE
2412 い地筿,2026/9/9,139.5,"9,797","1,361,110",0.1263,"7,757,447","1,082,164",27,TSE
2603 篴,2026/9/9,234,"8,646","2,003,493",0.3993,"2,165,043","506,620",15,TSE
1301 鹅,2026/9/9,66.7,"26,927","1,791,467",0.423,"6,365,741","424,595",03,TSE
3231 絥承,2026/9/9,189,"66,840","12,605,891",2.102,"3,179,842","600,990",25,TSE
2356 璣穨笷,2026/9/9,64.3,"15,028","967,888",0.4189,"3,587,475","230,675",25,TSE
2301 腳,2026/9/9,292.5,"13,639","4,011,683",0.5889,"2,316,108","677,462",25,TSE
2395 地,2026/9/9,653,"2,357","1,544,654",0.2712,"869,176","567,572",25,TSE
2303 羛筿,2026/9/8,137,"219,176","30,312,382",1.7436,"12,570,094","1,722,103",24,TSE
2382 約笷,2026/9/8,328,"35,435","11,741,782",0.8627,"4,107,627","1,347,302",25,TSE
