證券代碼,年月日,收盤價(元),成交量(千股),成交值(千元),週轉率％,流通在外股數(千股),市值(百萬元),TSE 產業別,上市別
2892 第一金,2020/3/11,15.2777,"20,955","475,051",0.1682,"12,461,943","282,263",17,TSE
2002 中鋼,2020/3/11,18.0948,"21,766","484,743",0.1383,"15,734,861","351,674",10,TSE
2884 玉山金,2020/3/11,17.2211,"43,045","1,203,747",0.3705,"11,619,500","323,022",17,TSE
5880 合庫金,2020/3/11,13.1652,"20,454","415,425",0.158,"12,945,848","262,801",17,TSE
1216 統一,2020/3/11,55.6649,"14,163","1,027,530",0.2493,"5,682,015","414,219",02,TSE
4904 遠傳,2020/3/11,49.11,"3,417","226,211",0.1049,"3,258,501","216,039",27,TSE
2881 富邦金,2020/3/10,24.3094,"22,245","944,860",0.2174,"10,233,604","433,393",17,TSE
2882 國泰金,2020/3/10,28.1304,"30,264","1,177,337",0.2298,"13,169,210","513,599",17,TSE
2886 兆豐金,2020/3/10,22.0679,"48,414","1,515,807",0.356,"13,599,824","426,354",17,TSE
2891 中信金,2020/3/10,15.54,"84,712","1,826,219",0.4345,"19,496,990","420,160",17,TSE
2892 第一金,2020/3/10,15.2439,"42,146","945,457",0.3382,"12,461,943","281,640",17,TSE
2002 中鋼,2020/3/10,18.0948,"17,919","399,626",0.1139,"15,734,861","351,674",10,TSE
2884 玉山金,2020/3/10,17.345,"60,002","1,666,578",0.5164,"11,619,500","325,346",17,TSE
5880 合庫金,2020/3/10,13.1652,"33,957","683,084",0.2623,"12,945,848","262,801",17,TSE
1216 統一,2020/3/10,55.2831,"13,774","994,121",0.2424,"5,682,015","411,378",02,TSE
4904 遠傳,2020/3/10,49.11,"5,436","357,127",0.1668,"3,258,501","216,039",27,TSE
2881 富邦金,2020/3/9,24.3094,"36,016","1,537,159",0.3519,"10,233,604","433,393",17,TSE
2882 國泰金,2020/3/9,27.8059,"49,790","1,925,522",0.3781,"13,169,210","507,673",17,TSE
2886 兆豐金,2020/3/9,22.3495,"53,794","1,709,004",0.3955,"13,599,824","431,794",17,TSE
2891 中信金,2020/3/9,15.7203,"85,760","1,879,259",0.4399,"19,496,990","425,034",17,TSE
2892 第一金,2020/3/9,15.3114,"47,154","1,071,035",0.3784,"12,461,943","282,886",17,TSE
2002 中鋼,2020/3/9,18.1353,"30,241","680,560",0.1922,"15,734,861","352,461",10,TSE
2884 玉山金,2020/3/9,17.438,"75,592","2,141,854",0.6506,"11,619,500","327,089",17,TSE
5880 合庫金,2020/3/9,13.1976,"39,310","803,245",0.3036,"12,945,848","263,448",17,TSE
1216 統一,2020/3/9,54.825,"15,373","1,104,332",0.2706,"5,682,015","407,969",02,TSE
4904 遠傳,2020/3/9,48.147,"4,949","321,870",0.1519,"3,258,501","211,803",27,TSE
2881 富邦金,2020/3/6,25.3713,"14,599","647,439",0.1427,"10,233,604","452,325",17,TSE
2882 國泰金,2020/3/6,28.4911,"31,591","1,250,187",0.2399,"13,169,210","520,184",17,TSE
2886 兆豐金,2020/3/6,22.8422,"31,560","1,023,229",0.2321,"13,599,824","441,314",17,TSE
2891 中信金,2020/3/6,16.153,"48,583","1,091,043",0.2492,"19,496,990","436,733",17,TSE
2892 第一金,2020/3/6,15.6824,"26,069","607,044",0.2092,"12,461,943","289,740",17,TSE
2002 中鋼,2020/3/6,18.5401,"17,960","411,331",0.1141,"15,734,861","360,328",10,TSE
2884 玉山金,2020/3/6,18.0264,"26,293","765,100",0.2263,"11,619,500","338,127",17,TSE
5880 合庫金,2020/3/6,13.4246,"15,823","328,145",0.1222,"12,945,848","267,979",17,TSE
1216 統一,2020/3/6,55.5122,"8,688","633,238",0.1529,"5,682,015","413,083",02,TSE
4904 遠傳,2020/3/6,49.0359,"4,264","281,539",0.1309,"3,258,501","215,713",27,TSE
2881 富邦金,2020/3/5,25.9166,"10,640","478,981",0.104,"10,233,604","462,047",17,TSE
2882 國泰金,2020/3/5,28.9599,"10,482","420,503",0.0796,"13,169,210","528,744",17,TSE
2886 兆豐金,2020/3/5,23.159,"18,015","590,155",0.1325,"13,599,824","447,434",17,TSE
2891 中信金,2020/3/5,16.4775,"38,086","864,905",0.1953,"19,496,990","445,506",17,TSE
2892 第一金,2020/3/5,15.8847,"10,817","254,812",0.0868,"12,461,943","293,479",17,TSE
2002 中鋼,2020/3/5,18.8639,"8,007","185,932",0.0509,"15,734,861","366,622",10,TSE
2884 玉山金,2020/3/5,18.2742,"30,147","883,312",0.2595,"11,619,500","342,775",17,TSE
5880 合庫金,2020/3/5,13.6191,"6,947","145,448",0.0537,"12,945,848","271,863",17,TSE
1216 統一,2020/3/5,56.1994,"8,456","622,200",0.1488,"5,682,015","418,196",02,TSE
4904 遠傳,2020/3/5,49.4803,"4,191","279,902",0.1286,"3,258,501","217,668",27,TSE
2881 富邦金,2020/3/4,25.5148,"11,005","486,411",0.1075,"10,233,604","454,884",17,TSE
2882 國泰金,2020/3/4,28.6714,"17,659","702,251",0.1341,"13,169,210","523,476",17,TSE
2886 兆豐金,2020/3/4,22.7719,"16,059","517,473",0.1181,"13,599,824","439,954",17,TSE
2891 中信金,2020/3/4,16.2612,"37,172","837,090",0.1907,"19,496,990","439,657",17,TSE
2892 第一金,2020/3/4,15.851,"19,039","445,054",0.1528,"12,461,943","292,856",17,TSE
2002 中鋼,2020/3/4,18.783,"14,096","325,694",0.0896,"15,734,861","365,049",10,TSE
2884 玉山金,2020/3/4,17.9645,"22,019","634,237",0.1895,"11,619,500","336,966",17,TSE
5880 合庫金,2020/3/4,13.5218,"10,701","222,133",0.0827,"12,945,848","269,921",17,TSE
1216 統一,2020/3/4,56.1231,"8,582","626,797",0.151,"5,682,015","417,628",02,TSE
4904 遠傳,2020/3/4,49.3322,"4,383","289,441",0.1345,"3,258,501","217,016",27,TSE
2881 富邦金,2020/3/3,25.3426,"11,304","499,251",0.1105,"10,233,604","451,814",17,TSE
2882 國泰金,2020/3/3,28.7075,"22,652","903,130",0.172,"13,169,210","524,135",17,TSE
2886 兆豐金,2020/3/3,22.7015,"23,329","752,590",0.1715,"13,599,824","438,594",17,TSE
2891 中信金,2020/3/3,16.2612,"48,984","1,103,219",0.2512,"19,496,990","439,657",17,TSE
2892 第一金,2020/3/3,15.851,"22,493","527,008",0.1805,"12,461,943","292,856",17,TSE
2002 中鋼,2020/3/3,18.621,"12,117","278,080",0.077,"15,734,861","361,902",10,TSE
2884 玉山金,2020/3/3,17.8406,"21,741","629,139",0.1871,"11,619,500","334,642",17,TSE
5880 合庫金,2020/3/3,13.4246,"13,811","286,491",0.1067,"12,945,848","267,979",17,TSE
1216 統一,2020/3/3,54.9777,"9,426","677,290",0.1659,"5,682,015","409,105",02,TSE
4904 遠傳,2020/3/3,48.5915,"4,301","280,671",0.132,"3,258,501","213,758",27,TSE
2881 富邦金,2020/3/2,25.2278,"17,791","782,099",0.1738,"10,233,604","449,767",17,TSE
2882 國泰金,2020/3/2,28.4911,"46,167","1,822,885",0.3506,"13,169,210","520,184",17,TSE
2886 兆豐金,2020/3/2,22.4903,"30,538","976,686",0.2245,"13,599,824","434,514",17,TSE
2891 中信金,2020/3/2,16.0448,"61,067","1,358,463",0.3132,"19,496,990","433,808",17,TSE
2892 第一金,2020/3/2,15.6486,"38,607","897,528",0.3098,"12,461,943","289,117",17,TSE
2002 中鋼,2020/3/2,18.5401,"19,482","444,909",0.1238,"15,734,861","360,328",10,TSE
2884 玉山金,2020/3/2,17.7477,"53,866","1,543,536",0.4636,"11,619,500","332,899",17,TSE
5880 合庫金,2020/3/2,13.3597,"28,893","596,001",0.2232,"12,945,848","266,684",17,TSE
1216 統一,2020/3/2,54.3668,"18,205","1,301,333",0.3204,"5,682,015","404,559",02,TSE
4904 遠傳,2020/3/2,48.147,"6,535","426,104",0.2006,"3,258,501","211,803",27,TSE
2881 富邦金,2020/2/27,25.5148,"15,768","700,931",0.1541,"10,233,604","454,884",17,TSE
2882 國泰金,2020/2/27,28.8878,"38,869","1,562,575",0.2952,"13,169,210","527,427",17,TSE
2886 兆豐金,2020/2/27,22.7719,"25,961","837,418",0.1909,"13,599,824","439,954",17,TSE
2891 中信金,2020/2/27,16.3693,"46,866","1,062,476",0.2404,"19,496,990","442,582",17,TSE
2892 第一金,2020/2/27,15.9859,"23,325","552,941",0.1872,"12,461,943","295,348",17,TSE
2002 中鋼,2020/2/27,18.621,"16,708","383,118",0.1062,"15,734,861","361,902",10,TSE
2884 玉山金,2020/2/27,17.9955,"45,665","1,329,138",0.393,"11,619,500","337,546",17,TSE
5880 合庫金,2020/2/27,13.5867,"19,641","409,749",0.1517,"12,945,848","271,216",17,TSE
1216 統一,2020/2/27,55.894,"10,588","773,076",0.1863,"5,682,015","415,924",02,TSE
4904 遠傳,2020/2/27,48.9618,"5,730","376,552",0.1758,"3,258,501","215,387",27,TSE
2881 富邦金,2020/2/26,25.6583,"14,219","634,501",0.1389,"10,233,604","457,442",17,TSE
2882 國泰金,2020/2/26,29.3206,"16,561","671,293",0.1258,"13,169,210","535,328",17,TSE
2886 兆豐金,2020/2/26,22.7719,"31,863","1,030,803",0.2343,"13,599,824","439,954",17,TSE
2891 中信金,2020/2/26,16.4414,"42,043","952,625",0.2156,"19,496,990","444,531",17,TSE
2892 第一金,2020/2/26,16.1208,"21,984","524,157",0.1764,"12,461,943","297,840",17,TSE
2002 中鋼,2020/2/26,18.4996,"19,514","446,659",0.124,"15,734,861","359,542",10,TSE
2884 玉山金,2020/2/26,18.1503,"32,517","953,751",0.2798,"11,619,500","340,451",17,TSE
5880 合庫金,2020/2/26,13.5218,"17,312","361,293",0.1337,"12,945,848","269,921",17,TSE
1216 統一,2020/2/26,55.7413,"8,791","641,597",0.1547,"5,682,015","414,787",02,TSE
4904 遠傳,2020/2/26,48.8878,"6,758","444,454",0.2074,"3,258,501","215,061",27,TSE
2881 富邦金,2020/2/25,25.8018,"9,054","405,805",0.0885,"10,233,604","460,001",17,TSE
2882 國泰金,2020/2/25,29.3566,"12,097","492,178",0.0919,"13,169,210","535,987",17,TSE
2886 兆豐金,2020/2/25,23.0182,"24,682","804,683",0.1815,"13,599,824","444,714",17,TSE
2891 中信金,2020/2/25,16.4414,"30,031","682,484",0.154,"19,496,990","444,531",17,TSE
2892 第一金,2020/2/25,16.1882,"18,990","454,300",0.1524,"12,461,943","299,087",17,TSE
2002 中鋼,2020/2/25,18.5806,"13,970","320,862",0.0888,"15,734,861","361,115",10,TSE
2884 玉山金,2020/2/25,18.3052,"26,708","783,741",0.2299,"11,619,500","343,356",17,TSE
5880 合庫金,2020/2/25,13.5867,"14,650","306,781",0.1132,"12,945,848","271,216",17,TSE
1216 統一,2020/2/25,56.1231,"8,383","615,232",0.1475,"5,682,015","417,628",02,TSE
4904 遠傳,2020/2/25,49.4803,"5,737","379,666",0.1761,"3,258,501","217,668",27,TSE
2881 富邦金,2020/2/24,25.8305,"17,144","772,578",0.1675,"10,233,604","460,512",17,TSE
2882 國泰金,2020/2/24,29.4648,"19,099","781,008",0.145,"13,169,210","537,962",17,TSE
2886 兆豐金,2020/2/24,23.0182,"25,895","848,449",0.1904,"13,599,824","444,714",17,TSE
2891 中信金,2020/2/24,16.4775,"35,463","811,536",0.1819,"19,496,990","445,506",17,TSE
2892 第一金,2020/2/24,16.2557,"14,277","343,918",0.1146,"12,461,943","300,333",17,TSE
2002 中鋼,2020/2/24,18.621,"15,245","351,357",0.0969,"15,734,861","361,902",10,TSE
2884 玉山金,2020/2/24,18.2742,"26,643","788,175",0.2293,"11,619,500","342,775",17,TSE
5880 合庫金,2020/2/24,13.6516,"16,222","341,909",0.1253,"12,945,848","272,510",17,TSE
1216 統一,2020/2/24,56.1231,"18,632","1,367,226",0.3279,"5,682,015","417,628",02,TSE
4904 遠傳,2020/2/24,49.4063,"7,043","469,585",0.2161,"3,258,501","217,342",27,TSE
2881 富邦金,2020/2/21,26.2323,"6,792","310,773",0.0664,"10,233,604","467,676",17,TSE
2882 國泰金,2020/2/21,29.7894,"9,757","403,598",0.0741,"13,169,210","543,888",17,TSE
2886 兆豐金,2020/2/21,23.3702,"23,578","786,656",0.1734,"13,599,824","451,514",17,TSE
2891 中信金,2020/2/21,16.7299,"28,376","659,403",0.1455,"19,496,990","452,330",17,TSE
2892 第一金,2020/2/21,16.458,"13,631","333,708",0.1094,"12,461,943","304,071",17,TSE
2002 中鋼,2020/2/21,18.783,"9,537","221,846",0.0606,"15,734,861","365,049",10,TSE
2884 玉山金,2020/2/21,18.491,"16,715","500,367",0.1439,"11,619,500","346,842",17,TSE
5880 合庫金,2020/2/21,13.7813,"12,019","256,172",0.0928,"12,945,848","275,099",17,TSE
1216 統一,2020/2/21,56.5049,"4,703","348,169",0.0828,"5,682,015","420,469",02,TSE
4904 遠傳,2020/2/21,49.9248,"3,453","233,162",0.106,"3,258,501","219,623",27,TSE
2881 富邦金,2020/2/20,26.4619,"9,498","438,012",0.0928,"10,233,604","471,769",17,TSE
2882 國泰金,2020/2/20,30.0058,"10,083","420,399",0.0766,"13,169,210","547,839",17,TSE
2886 兆豐金,2020/2/20,23.6518,"26,247","881,172",0.193,"13,599,824","456,954",17,TSE
2891 中信金,2020/2/20,16.9102,"44,025","1,029,962",0.2258,"19,496,990","457,204",17,TSE
2892 第一金,2020/2/20,16.5255,"17,984","443,013",0.1443,"12,461,943","305,318",17,TSE
2002 中鋼,2020/2/20,18.8639,"8,685","202,878",0.0552,"15,734,861","366,622",10,TSE
2884 玉山金,2020/2/20,18.584,"33,113","996,924",0.285,"11,619,500","348,585",17,TSE
5880 合庫金,2020/2/20,13.8785,"15,044","323,509",0.1162,"12,945,848","277,041",17,TSE
1216 統一,2020/2/20,56.5049,"8,024","596,206",0.1412,"5,682,015","420,469",02,TSE
4904 遠傳,2020/2/20,50.0729,"6,397","433,362",0.1963,"3,258,501","220,275",27,TSE
2881 富邦金,2020/2/19,26.6054,"7,185","332,310",0.0702,"10,233,604","474,328",17,TSE
2882 國泰金,2020/2/19,30.114,"9,651","401,849",0.0733,"13,169,210","549,815",17,TSE
2886 兆豐金,2020/2/19,23.5462,"20,017","666,278",0.1472,"13,599,824","454,914",17,TSE
2891 中信金,2020/2/19,16.802,"37,229","863,626",0.1909,"19,496,990","454,280",17,TSE
2892 第一金,2020/2/19,16.5929,"15,742","386,377",0.1263,"12,461,943","306,564",17,TSE
2002 中鋼,2020/2/19,19.0259,"8,112","190,442",0.0516,"15,734,861","369,769",10,TSE
2884 玉山金,2020/2/19,18.491,"40,493","1,199,718",0.3485,"11,619,500","346,842",17,TSE
5880 合庫金,2020/2/19,13.9434,"12,037","257,986",0.093,"12,945,848","278,336",17,TSE
1216 統一,2020/2/19,57.2684,"6,012","451,656",0.1058,"5,682,015","426,151",02,TSE
4904 遠傳,2020/2/19,51.0359,"3,354","230,698",0.1029,"3,258,501","224,511",27,TSE
2881 富邦金,2020/2/18,26.4045,"6,244","286,541",0.061,"10,233,604","470,746",17,TSE
2882 國泰金,2020/2/18,29.9337,"8,379","345,979",0.0636,"13,169,210","546,522",17,TSE
2886 兆豐金,2020/2/18,23.159,"18,789","616,102",0.1382,"13,599,824","447,434",17,TSE
2891 中信金,2020/2/18,16.6578,"44,621","1,027,716",0.2289,"19,496,990","450,380",17,TSE
2892 第一金,2020/2/18,16.458,"14,041","341,192",0.1127,"12,461,943","304,071",17,TSE
2002 中鋼,2020/2/18,18.9854,"7,446","173,556",0.0473,"15,734,861","368,982",10,TSE
2884 玉山金,2020/2/18,18.0264,"15,107","438,462",0.13,"11,619,500","338,127",17,TSE
5880 合庫金,2020/2/18,13.8461,"8,102","172,287",0.0626,"12,945,848","276,394",17,TSE
1216 統一,2020/2/18,57.3448,"6,571","492,827",0.1156,"5,682,015","426,719",02,TSE
4904 遠傳,2020/2/18,50.6655,"2,305","157,230",0.0707,"3,258,501","222,881",27,TSE
2881 富邦金,2020/2/17,26.3758,"6,536","298,990",0.0639,"10,233,604","470,234",17,TSE
2882 國泰金,2020/2/17,29.8615,"8,534","353,074",0.0648,"13,169,210","545,205",17,TSE
2886 兆豐金,2020/2/17,22.8774,"16,167","523,980",0.1189,"13,599,824","441,994",17,TSE
2891 中信金,2020/2/17,16.5496,"45,878","1,048,123",0.2353,"19,496,990","447,456",17,TSE
2892 第一金,2020/2/17,16.3231,"14,165","341,255",0.1137,"12,461,943","301,579",17,TSE
2002 中鋼,2020/2/17,18.9044,"6,014","140,121",0.0382,"15,734,861","367,409",10,TSE
2884 玉山金,2020/2/17,17.9645,"14,614","422,156",0.1258,"11,619,500","336,966",17,TSE
5880 合庫金,2020/2/17,13.8137,"7,735","164,322",0.0597,"12,945,848","275,747",17,TSE
1216 統一,2020/2/17,57.2684,"3,687","275,841",0.0649,"5,682,015","426,151",02,TSE
4904 遠傳,2020/2/17,50.6655,"2,345","160,012",0.072,"3,258,501","222,881",27,TSE
2881 富邦金,2020/2/14,26.4906,"6,672","307,459",0.0652,"10,233,604","472,281",17,TSE
2882 國泰金,2020/2/14,30.0419,"6,511","270,913",0.0494,"13,169,210","548,498",17,TSE
2886 兆豐金,2020/2/14,22.7367,"8,409","270,907",0.0618,"13,599,824","439,274",17,TSE
2891 中信金,2020/2/14,16.4414,"14,428","328,832",0.074,"19,496,990","444,531",17,TSE
2892 第一金,2020/2/14,16.2557,"8,907","214,467",0.0715,"12,461,943","300,333",17,TSE
2002 中鋼,2020/2/14,18.9854,"6,221","145,529",0.0395,"15,734,861","368,982",10,TSE
2884 玉山金,2020/2/14,17.9026,"17,590","509,074",0.1514,"11,619,500","335,804",17,TSE
5880 合庫金,2020/2/14,13.8137,"6,688","141,983",0.0517,"12,945,848","275,747",17,TSE
1216 統一,2020/2/14,56.6576,"4,469","331,872",0.0787,"5,682,015","421,606",02,TSE
4904 遠傳,2020/2/14,50.5174,"3,106","210,977",0.0953,"3,258,501","222,230",27,TSE
2881 富邦金,2020/2/13,26.4332,"12,332","568,415",0.1205,"10,233,604","471,257",17,TSE
2882 國泰金,2020/2/13,30.0058,"9,296","387,480",0.0706,"13,169,210","547,839",17,TSE
2886 兆豐金,2020/2/13,22.6663,"12,914","415,225",0.095,"13,599,824","437,914",17,TSE
2891 中信金,2020/2/13,16.4414,"24,941","567,308",0.1279,"19,496,990","444,531",17,TSE
2892 第一金,2020/2/13,16.2557,"12,244","294,824",0.0983,"12,461,943","300,333",17,TSE
2002 中鋼,2020/2/13,18.9449,"8,813","206,310",0.056,"15,734,861","368,196",10,TSE
2884 玉山金,2020/2/13,17.9645,"21,406","620,654",0.1842,"11,619,500","336,966",17,TSE
5880 合庫金,2020/2/13,13.7813,"8,865","188,123",0.0685,"12,945,848","275,099",17,TSE
1216 統一,2020/2/13,56.8867,"8,706","647,540",0.1532,"5,682,015","423,310",02,TSE
4904 遠傳,2020/2/13,49.7766,"2,944","198,590",0.0903,"3,258,501","218,971",27,TSE
2881 富邦金,2020/2/12,26.6054,"19,505","906,755",0.1906,"10,233,604","474,328",17,TSE
2882 國泰金,2020/2/12,30.1501,"16,604","695,464",0.1261,"13,169,210","550,473",17,TSE
2886 兆豐金,2020/2/12,22.5959,"14,634","470,423",0.1076,"13,599,824","436,554",17,TSE
2891 中信金,2020/2/12,16.3333,"36,229","819,456",0.1858,"19,496,990","441,607",17,TSE
2892 第一金,2020/2/12,16.1882,"13,952","335,433",0.112,"12,461,943","299,087",17,TSE
2002 中鋼,2020/2/12,18.9854,"5,236","122,596",0.0333,"15,734,861","368,982",10,TSE
2884 玉山金,2020/2/12,17.8096,"12,898","371,408",0.111,"11,619,500","334,061",17,TSE
5880 合庫金,2020/2/12,13.7164,"12,300","260,852",0.095,"12,945,848","273,805",17,TSE
1216 統一,2020/2/12,56.8103,"9,192","686,057",0.1618,"5,682,015","422,742",02,TSE
4904 遠傳,2020/2/12,49.6285,"4,411","296,017",0.1354,"3,258,501","218,320",27,TSE
2881 富邦金,2020/2/11,26.4045,"11,565","530,924",0.113,"10,233,604","470,746",17,TSE
2882 國泰金,2020/2/11,30.0419,"18,278","760,542",0.1388,"13,169,210","548,498",17,TSE
2886 兆豐金,2020/2/11,22.6311,"14,330","459,606",0.1054,"13,599,824","437,234",17,TSE
2891 中信金,2020/2/11,16.2612,"19,638","442,308",0.1007,"19,496,990","439,657",17,TSE
2892 第一金,2020/2/11,16.2557,"10,748","258,870",0.0862,"12,461,943","300,333",17,TSE
2002 中鋼,2020/2/11,18.9854,"6,370","149,371",0.0405,"15,734,861","368,982",10,TSE
2884 玉山金,2020/2/11,17.8096,"12,178","350,115",0.1048,"11,619,500","334,061",17,TSE
5880 合庫金,2020/2/11,13.7813,"11,031","234,376",0.0852,"12,945,848","275,099",17,TSE
1216 統一,2020/2/11,56.963,"6,537","489,255",0.115,"5,682,015","423,878",02,TSE
4904 遠傳,2020/2/11,49.9248,"2,195","148,074",0.0674,"3,258,501","219,623",27,TSE
2881 富邦金,2020/2/10,25.9166,"11,903","535,839",0.1163,"10,233,604","462,047",17,TSE
2882 國泰金,2020/2/10,29.5009,"10,902","445,154",0.0828,"13,169,210","538,621",17,TSE
2886 兆豐金,2020/2/10,22.5607,"17,980","573,509",0.1322,"13,599,824","435,874",17,TSE
2891 中信金,2020/2/10,16.2251,"29,232","656,230",0.1499,"19,496,990","438,682",17,TSE
2892 第一金,2020/2/10,16.222,"14,540","348,382",0.1167,"12,461,943","299,710",17,TSE
2002 中鋼,2020/2/10,18.9854,"11,393","266,049",0.0724,"15,734,861","368,982",10,TSE
2884 玉山金,2020/2/10,17.7787,"22,290","637,038",0.1918,"11,619,500","333,480",17,TSE
5880 合庫金,2020/2/10,13.7488,"11,321","238,859",0.0874,"12,945,848","274,452",17,TSE
1216 統一,2020/2/10,57.2684,"8,362","623,526",0.1472,"5,682,015","426,151",02,TSE
4904 遠傳,2020/2/10,49.9248,"3,257","218,623",0.1,"3,258,501","219,623",27,TSE
2881 富邦金,2020/2/7,26.0601,"12,602","572,231",0.1231,"10,233,604","464,606",17,TSE
2882 國泰金,2020/2/7,29.6091,"13,451","552,151",0.1021,"13,169,210","540,596",17,TSE
2886 兆豐金,2020/2/7,22.5255,"22,450","719,499",0.1651,"13,599,824","435,194",17,TSE
2891 中信金,2020/2/7,16.2251,"31,906","715,899",0.1636,"19,496,990","438,682",17,TSE
2892 第一金,2020/2/7,16.2557,"10,279","247,069",0.0825,"12,461,943","300,333",17,TSE
2002 中鋼,2020/2/7,18.8639,"7,882","183,554",0.0501,"15,734,861","366,622",10,TSE
2884 玉山金,2020/2/7,17.7787,"23,713","682,018",0.2041,"11,619,500","333,480",17,TSE
5880 合庫金,2020/2/7,13.7488,"16,672","352,042",0.1288,"12,945,848","274,452",17,TSE
1216 統一,2020/2/7,56.1994,"6,078","447,482",0.107,"5,682,015","418,196",02,TSE
4904 遠傳,2020/2/7,49.6285,"4,598","308,398",0.1411,"3,258,501","218,320",27,TSE
2881 富邦金,2020/2/6,26.4045,"12,907","590,946",0.1261,"10,233,604","470,746",17,TSE
2882 國泰金,2020/2/6,29.9337,"14,920","616,439",0.1133,"13,169,210","546,522",17,TSE
2886 兆豐金,2020/2/6,22.7719,"17,829","574,937",0.1311,"13,599,824","439,954",17,TSE
2891 中信金,2020/2/6,16.2251,"23,983","537,894",0.123,"19,496,990","438,682",17,TSE
2892 第一金,2020/2/6,16.2894,"15,034","362,105",0.1206,"12,461,943","300,956",17,TSE
2002 中鋼,2020/2/6,18.9044,"12,028","281,527",0.0764,"15,734,861","367,409",10,TSE
2884 玉山金,2020/2/6,18.0264,"24,239","704,165",0.2086,"11,619,500","338,127",17,TSE
5880 合庫金,2020/2/6,13.7488,"14,543","307,368",0.1123,"12,945,848","274,452",17,TSE
1216 統一,2020/2/6,56.5049,"4,854","358,030",0.0854,"5,682,015","420,469",02,TSE
4904 遠傳,2020/2/6,50.147,"6,385","431,663",0.1959,"3,258,501","220,601",27,TSE
2881 富邦金,2020/2/5,26.0601,"9,970","450,038",0.0974,"10,233,604","464,606",17,TSE
2882 國泰金,2020/2/5,29.537,"14,600","596,192",0.1109,"13,169,210","539,279",17,TSE
2886 兆豐金,2020/2/5,22.5255,"17,252","550,713",0.1269,"13,599,824","435,194",17,TSE
2891 中信金,2020/2/5,16.153,"27,399","610,707",0.1405,"19,496,990","436,733",17,TSE
2892 第一金,2020/2/5,16.0533,"18,605","442,077",0.1493,"12,461,943","296,594",17,TSE
2002 中鋼,2020/2/5,18.8235,"10,362","241,028",0.0659,"15,734,861","365,836",10,TSE
2884 玉山金,2020/2/5,17.8716,"29,175","840,434",0.2511,"11,619,500","335,223",17,TSE
5880 合庫金,2020/2/5,13.6191,"15,059","315,051",0.1163,"12,945,848","271,863",17,TSE
1216 統一,2020/2/5,56.2758,"9,696","712,178",0.1706,"5,682,015","418,765",02,TSE
4904 遠傳,2020/2/5,50.0729,"3,824","258,165",0.1174,"3,258,501","220,275",27,TSE
2881 富邦金,2020/2/4,25.8592,"13,436","600,472",0.1313,"10,233,604","461,024",17,TSE
2882 國泰金,2020/2/4,29.3566,"16,293","660,574",0.1237,"13,169,210","535,987",17,TSE
2886 兆豐金,2020/2/4,22.3847,"20,416","649,147",0.1501,"13,599,824","432,474",17,TSE
2891 中信金,2020/2/4,16.0809,"43,992","972,976",0.2256,"19,496,990","434,783",17,TSE
2892 第一金,2020/2/4,15.8847,"16,421","385,968",0.1318,"12,461,943","293,479",17,TSE
2002 中鋼,2020/2/4,18.783,"13,835","320,972",0.0879,"15,734,861","365,049",10,TSE
2884 玉山金,2020/2/4,17.7477,"28,525","813,574",0.2455,"11,619,500","332,899",17,TSE
5880 合庫金,2020/2/4,13.5218,"18,608","387,173",0.1437,"12,945,848","269,921",17,TSE
1216 統一,2020/2/4,56.1231,"9,227","677,503",0.1624,"5,682,015","417,628",02,TSE
4904 遠傳,2020/2/4,50.2951,"4,765","322,757",0.1462,"3,258,501","221,252",27,TSE
2881 富邦金,2020/2/3,25.3426,"18,054","795,192",0.1764,"10,233,604","451,814",17,TSE
2882 國泰金,2020/2/3,28.996,"27,390","1,095,389",0.208,"13,169,210","529,402",17,TSE
2886 兆豐金,2020/2/3,22.2439,"29,661","932,588",0.2181,"13,599,824","429,754",17,TSE
2891 中信金,2020/2/3,15.8285,"41,522","905,434",0.213,"19,496,990","427,959",17,TSE
2892 第一金,2020/2/3,15.8173,"24,431","568,292",0.196,"12,461,943","292,233",17,TSE
2002 中鋼,2020/2/3,18.621,"19,364","445,579",0.1231,"15,734,861","361,902",10,TSE
2884 玉山金,2020/2/3,17.376,"47,814","1,323,182",0.4115,"11,619,500","325,927",17,TSE
5880 合庫金,2020/2/3,13.4246,"26,627","547,489",0.2057,"12,945,848","267,979",17,TSE
1216 統一,2020/2/3,55.7413,"7,888","576,707",0.1388,"5,682,015","414,787",02,TSE
4904 遠傳,2020/2/3,50.2211,"5,922","399,746",0.1817,"3,258,501","220,926",27,TSE
2881 富邦金,2020/1/31,25.8592,"14,884","671,517",0.1454,"10,233,604","461,024",17,TSE
2882 國泰金,2020/1/31,29.3206,"24,590","1,003,628",0.1867,"13,169,210","535,328",17,TSE
2886 兆豐金,2020/1/31,22.2087,"28,009","887,873",0.206,"13,599,824","429,074",17,TSE
2891 中信金,2020/1/31,15.9006,"56,609","1,248,493",0.2903,"19,496,990","429,909",17,TSE
2892 第一金,2020/1/31,15.9184,"25,702","607,824",0.2062,"12,461,943","294,102",17,TSE
2002 中鋼,2020/1/31,18.702,"18,198","421,782",0.1157,"15,734,861","363,475",10,TSE
2884 玉山金,2020/1/31,17.407,"50,262","1,422,243",0.4326,"11,619,500","326,508",17,TSE
5880 合庫金,2020/1/31,13.4894,"23,589","491,330",0.1822,"12,945,848","269,274",17,TSE
