證券代碼,年月日,收盤價(元),成交量(千股),成交值(千元),週轉率％,流通在外股數(千股),市值(百萬元),TSE 產業別,上市別
4904 遠傳,2026/7/17,103,"20,826","2,149,379",0.5773,"3,607,705","371,594",27,TSE
2881 富邦金,2026/7/16,125,"26,571","3,338,463",0.1897,"14,007,365","1,750,921",17,TSE
2882 國泰金,2026/7/16,97.3,"15,687","1,516,554",0.1069,"14,669,210","1,427,314",17,TSE
2886 兆豐金,2026/7/16,44.9255,"37,500","1,752,126",0.2528,"14,833,378","691,235",17,TSE
2891 中信金,2026/7/16,63,"50,699","3,190,168",0.2577,"19,676,898","1,239,645",17,TSE
2892 第一金,2026/7/16,32.6872,"37,194","1,258,886",0.2587,"14,379,469","488,183",17,TSE
2002 中鋼,2026/7/16,18.6524,"26,895","504,064",0.1709,"15,734,861","295,815",10,TSE
2884 玉山金,2026/7/16,34.9,"36,060","1,252,467",0.2227,"16,192,000","565,101",17,TSE
5880 合庫金,2026/7/16,24.1126,"17,727","450,128",0.113,"15,680,937","399,864",17,TSE
1216 統一,2026/7/16,75.9693,"23,084","1,813,985",0.4063,"5,682,015","448,879",02,TSE
4904 遠傳,2026/7/16,101,"16,144","1,623,747",0.4475,"3,607,705","364,378",27,TSE
2881 富邦金,2026/7/15,128.5,"27,591","3,539,998",0.197,"14,007,365","1,799,946",17,TSE
2882 國泰金,2026/7/15,96.6,"20,519","1,993,033",0.1399,"14,669,210","1,417,046",17,TSE
2886 兆豐金,2026/7/15,44.347,"26,433","1,221,278",0.1782,"14,833,378","682,335",17,TSE
2891 中信金,2026/7/15,63.5,"79,455","5,056,830",0.4038,"19,676,898","1,249,483",17,TSE
2892 第一金,2026/7/15,31.8688,"54,871","1,824,065",0.3816,"14,379,469","475,960",17,TSE
2002 中鋼,2026/7/15,18.5035,"32,735","609,582",0.208,"15,734,861","293,455",10,TSE
2884 玉山金,2026/7/15,34.45,"33,554","1,159,782",0.2072,"16,192,000","557,814",17,TSE
5880 合庫金,2026/7/15,23.9708,"19,993","507,339",0.1275,"15,680,937","397,512",17,TSE
1216 統一,2026/7/15,75.5847,"24,165","1,900,828",0.4253,"5,682,015","446,606",02,TSE
4904 遠傳,2026/7/15,96.3,"8,744","838,385",0.2424,"3,607,705","347,422",27,TSE
2881 富邦金,2026/7/14,125,"26,754","3,310,565",0.191,"14,007,365","1,750,921",17,TSE
2882 國泰金,2026/7/14,96.1,"22,353","2,127,211",0.1524,"14,669,210","1,409,711",17,TSE
2886 兆豐金,2026/7/14,45.3111,"25,592","1,198,766",0.1725,"14,833,378","697,169",17,TSE
2891 中信金,2026/7/14,65,"80,377","5,175,426",0.4085,"19,676,898","1,278,998",17,TSE
2892 第一金,2026/7/14,32.3021,"24,985","835,360",0.1738,"14,379,469","482,431",17,TSE
2002 中鋼,2026/7/14,18.3547,"42,281","777,327",0.2687,"15,734,861","291,095",10,TSE
2884 玉山金,2026/7/14,34.5,"67,002","2,302,421",0.4138,"16,192,000","558,624",17,TSE
5880 合庫金,2026/7/14,23.829,"20,420","511,200",0.1302,"15,680,937","395,160",17,TSE
1216 統一,2026/7/14,75.4885,"18,044","1,408,868",0.3176,"5,682,015","446,038",02,TSE
4904 遠傳,2026/7/14,95.1,"15,081","1,441,661",0.418,"3,607,705","343,093",27,TSE
2881 富邦金,2026/7/13,127,"24,403","3,086,214",0.1742,"14,007,365","1,778,935",17,TSE
2882 國泰金,2026/7/13,96.7,"20,949","2,024,648",0.1428,"14,669,210","1,418,513",17,TSE
2886 兆豐金,2026/7/13,45.3111,"26,920","1,265,722",0.1815,"14,833,378","697,169",17,TSE
2891 中信金,2026/7/13,66.5,"108,347","7,264,601",0.5506,"19,676,898","1,308,514",17,TSE
2892 第一金,2026/7/13,32.3984,"19,179","645,826",0.1334,"14,379,469","483,869",17,TSE
2002 中鋼,2026/7/13,18.2555,"43,032","794,718",0.2735,"15,734,861","289,521",10,TSE
2884 玉山金,2026/7/13,34.6,"32,021","1,109,865",0.1978,"16,192,000","560,243",17,TSE
5880 合庫金,2026/7/13,23.829,"19,660","495,135",0.1254,"15,680,937","395,160",17,TSE
1216 統一,2026/7/13,75.4885,"20,557","1,622,427",0.3618,"5,682,015","446,038",02,TSE
4904 遠傳,2026/7/13,96.1,"19,562","1,885,462",0.5422,"3,607,705","346,700",27,TSE
2881 富邦金,2026/7/9,124.5,"25,388","3,166,656",0.1812,"14,007,365","1,743,917",17,TSE
2882 國泰金,2026/7/9,96.3,"23,118","2,217,051",0.1576,"14,669,210","1,412,645",17,TSE
2886 兆豐金,2026/7/9,45.0219,"13,674","639,918",0.0922,"14,833,378","692,719",17,TSE
2891 中信金,2026/7/9,67.3998,"59,414","4,176,338",0.3019,"19,676,898","1,375,415",17,TSE
2892 第一金,2026/7/9,32.3502,"13,920","469,430",0.0968,"14,379,469","483,150",17,TSE
2002 中鋼,2026/7/9,18.4043,"25,520","474,356",0.1622,"15,734,861","291,882",10,TSE
2884 玉山金,2026/7/9,34.75,"44,406","1,544,958",0.2742,"16,192,000","562,672",17,TSE
5880 合庫金,2026/7/9,23.7817,"16,688","418,588",0.1064,"15,680,937","394,376",17,TSE
1216 統一,2026/7/9,75.3923,"18,981","1,493,160",0.3341,"5,682,015","445,470",02,TSE
4904 遠傳,2026/7/9,95,"11,648","1,096,350",0.3229,"3,607,705","342,732",27,TSE
2881 富邦金,2026/7/8,126,"26,060","3,245,854",0.186,"14,007,365","1,764,928",17,TSE
2882 國泰金,2026/7/8,98,"31,336","3,033,595",0.2136,"14,669,210","1,437,583",17,TSE
2886 兆豐金,2026/7/8,45.1183,"21,778","1,020,720",0.1468,"14,833,378","694,202",17,TSE
2891 中信金,2026/7/8,68.7497,"54,774","3,875,289",0.2784,"19,676,898","1,402,963",17,TSE
2892 第一金,2026/7/8,32.8316,"32,599","1,100,096",0.2267,"14,379,469","490,340",17,TSE
2002 中鋼,2026/7/8,18.5531,"21,114","393,696",0.1342,"15,734,861","294,242",10,TSE
2884 玉山金,2026/7/8,34.75,"43,197","1,497,872",0.2668,"16,192,000","562,672",17,TSE
5880 合庫金,2026/7/8,23.7344,"25,688","642,869",0.1638,"15,680,937","393,592",17,TSE
1216 統一,2026/7/8,75.5847,"21,797","1,711,258",0.3836,"5,682,015","446,606",02,TSE
4904 遠傳,2026/7/8,93.2,"35,578","3,329,786",0.9862,"3,607,705","336,238",27,TSE
2881 富邦金,2026/7/7,123,"21,149","2,594,022",0.151,"14,007,365","1,722,906",17,TSE
2882 國泰金,2026/7/7,97,"45,192","4,353,364",0.3081,"14,669,210","1,422,913",17,TSE
2886 兆豐金,2026/7/7,45.1183,"36,302","1,703,876",0.2447,"14,833,378","694,202",17,TSE
2891 中信金,2026/7/7,67.6891,"57,622","4,095,869",0.2928,"19,676,898","1,381,318",17,TSE
2892 第一金,2026/7/7,32.0614,"41,274","1,378,117",0.287,"14,379,469","478,836",17,TSE
2002 中鋼,2026/7/7,18.4539,"42,196","789,414",0.2682,"15,734,861","292,668",10,TSE
2884 玉山金,2026/7/7,34.5,"49,161","1,696,587",0.3036,"16,192,000","558,624",17,TSE
5880 合庫金,2026/7/7,23.5453,"17,111","426,383",0.1091,"15,680,937","390,455",17,TSE
1216 統一,2026/7/7,75.0077,"20,179","1,577,952",0.3551,"5,682,015","443,197",02,TSE
4904 遠傳,2026/7/7,99.19,"19,381","2,007,437",0.5372,"3,607,705","371,594",27,TSE
2881 富邦金,2026/7/6,121.5,"15,681","1,905,634",0.1119,"14,007,365","1,701,895",17,TSE
2882 國泰金,2026/7/6,93.4,"44,484","4,167,666",0.3032,"14,669,210","1,370,104",17,TSE
2886 兆豐金,2026/7/6,44.6363,"21,312","983,318",0.1437,"14,833,378","686,785",17,TSE
2891 中信金,2026/7/6,68.8462,"31,967","2,282,309",0.1625,"19,676,898","1,404,931",17,TSE
2892 第一金,2026/7/6,31.8207,"28,641","941,977",0.1992,"14,379,469","475,241",17,TSE
