靡ㄩ絏,るら,Μ絃基(じ),Θユ秖(),Θユ(じ),秅锣瞯,瑈硄计(),カ(κ窾じ),TSE 玻穨,カ
2330 縩筿,2026/9/15,"2,377.99","15,215","36,376,152",0.0587,"25,932,370","61,848,703",24,TSE
2454 羛祇,2026/9/15,"4,430","6,209","27,933,518",0.3869,"1,604,953","7,109,940",24,TSE
3034 羛碟,2026/9/15,541,"3,608","1,946,657",0.5929,"608,511","329,205",24,TSE
2308 笷筿,2026/9/15,"1,670","14,802","24,912,933",0.5698,"2,597,543","4,337,897",28,TSE
3711 らるщ北,2026/9/15,592,"14,790","8,853,707",0.3297,"4,485,648","2,655,504",24,TSE
2345 醇ü,2026/9/15,"1,840","2,272","4,228,856",0.4049,"561,118","1,032,457",27,TSE
6669 絥縪,2026/9/15,"2,315","2,767","6,392,556",0.4933,"560,891","1,298,463",25,TSE
2059 打,2026/9/15,"11,715",211,"2,508,624",0.2214,"95,297","1,116,405",28,TSE
3008 ミ,2026/9/15,"6,055","2,988","18,102,787",2.2844,"130,798","791,983",26,TSE
2379 风琑,2026/9/15,703,"1,859","1,317,522",0.3606,"515,513","362,405",24,TSE
2330 縩筿,2026/9/14,"2,380","21,520","51,353,895",0.083,"25,932,370","61,719,041",24,TSE
2454 羛祇,2026/9/14,"4,560","6,122","27,871,493",0.3814,"1,604,953","7,318,584",24,TSE
3034 羛碟,2026/9/14,556,"3,546","1,965,075",0.5827,"608,511","338,332",24,TSE
2308 笷筿,2026/9/14,"1,620","9,470","15,227,775",0.3646,"2,597,543","4,208,020",28,TSE
3711 らるщ北,2026/9/14,612,"9,475","5,793,669",0.2112,"4,485,648","2,745,217",24,TSE
2345 醇ü,2026/9/14,"1,875","3,068","5,745,651",0.5468,"561,118","1,052,096",27,TSE
6669 絥縪,2026/9/14,"2,270","1,985","4,517,740",0.3539,"560,891","1,273,222",25,TSE
2059 打,2026/9/14,"11,990",240,"2,864,664",0.2518,"95,297","1,142,612",28,TSE
